date,site_id,daily_mean_pm10_conentration,daily_aqi_value
2020-05-01,60070008,26,24
2020-05-02,60070008,25,23
2020-05-03,60070008,9,8
2020-05-08,60070008,27,25
2020-05-09,60070008,35,32
2020-05-10,60070008,32,30
2020-05-11,60070008,20,19
2020-05-12,60070008,6,6
2020-05-13,60070008,10,9
2020-05-14,60070008,10,9
2020-05-15,60070008,9,8
2020-05-16,60070008,13,12
2020-05-17,60070008,5,5
2020-05-18,60070008,4,4
2020-05-19,60070008,3,3
2020-05-20,60070008,7,6
2020-05-21,60070008,7,6
2020-05-22,60070008,7,6
2020-05-23,60070008,4,4
2020-05-24,60070008,6,6
2020-05-25,60070008,9,8
2020-05-26,60070008,15,14
2020-05-28,60070008,20,19
2020-05-29,60070008,28,26
2020-05-30,60070008,8,7
2020-05-31,60070008,9,8
2020-06-18,60070008,11,10
2020-06-19,60070008,17,16
2020-06-20,60070008,23,21
2020-06-21,60070008,12,11
2020-06-22,60070008,23,21
2020-06-23,60070008,30,28
2020-06-24,60070008,27,25
2020-06-25,60070008,28,26
2020-06-26,60070008,40,37
2020-06-27,60070008,29,27
2020-06-28,60070008,23,21
2020-06-29,60070008,15,14
2020-06-30,60070008,14,13
2020-07-08,60070008,22,20
2020-07-09,60070008,24,22
2020-07-10,60070008,20,19
2020-07-11,60070008,15,14
2020-07-18,60070008,22,20
2020-07-19,60070008,27,25
2020-07-20,60070008,31,29
2020-07-21,60070008,29,27
2020-07-22,60070008,24,22
2020-07-23,60070008,22,20
2020-07-24,60070008,27,25
2020-07-25,60070008,25,23
2020-07-26,60070008,23,21
2020-07-27,60070008,25,23
2020-07-28,60070008,30,28
2020-07-29,60070008,25,23
2020-07-30,60070008,24,22
2020-07-31,60070008,25,23
2020-01-01,60090001,19,18
2020-01-02,60090001,14,13
2020-01-03,60090001,14,13
2020-01-04,60090001,13,12
2020-01-05,60090001,15,14
2020-01-06,60090001,13,12
2020-01-07,60090001,14,13
2020-01-08,60090001,15,14
2020-01-09,60090001,6,6
2020-01-10,60090001,8,7
2020-01-11,60090001,11,10
2020-01-12,60090001,11,10
2020-01-13,60090001,6,6
2020-01-14,60090001,7,6
2020-01-15,60090001,11,10
2020-01-16,60090001,8,7
2020-01-17,60090001,5,5
2020-01-18,60090001,7,6
2020-01-19,60090001,10,9
2020-01-20,60090001,10,9
2020-01-21,60090001,7,6
2020-01-22,60090001,5,5
2020-01-23,60090001,9,8
2020-01-24,60090001,12,11
2020-01-25,60090001,17,16
2020-01-26,60090001,11,10
2020-01-27,60090001,11,10
2020-01-28,60090001,8,7
2020-01-29,60090001,13,12
2020-01-30,60090001,14,13
2020-01-31,60090001,14,13
2020-02-01,60090001,20,19
2020-02-02,60090001,10,9
2020-02-03,60090001,8,7
2020-02-04,60090001,12,11
2020-02-05,60090001,14,13
2020-02-06,60090001,21,19
2020-02-07,60090001,20,19
2020-02-08,60090001,18,17
2020-02-09,60090001,40,37
2020-02-10,60090001,9,8
2020-02-11,60090001,17,16
2020-02-12,60090001,15,14
2020-02-13,60090001,18,17
2020-02-14,60090001,16,15
2020-02-15,60090001,13,12
2020-02-16,60090001,12,11
2020-02-17,60090001,13,12
2020-02-18,60090001,14,13
2020-02-19,60090001,18,17
2020-02-20,60090001,13,12
2020-02-21,60090001,14,13
2020-02-22,60090001,13,12
2020-02-23,60090001,13,12
2020-02-24,60090001,12,11
2020-02-25,60090001,14,13
2020-02-26,60090001,12,11
2020-02-27,60090001,13,12
2020-02-28,60090001,13,12
2020-02-29,60090001,18,17
2020-03-01,60090001,9,8
2020-03-02,60090001,6,6
2020-03-03,60090001,16,15
2020-03-04,60090001,14,13
2020-03-05,60090001,18,17
2020-03-06,60090001,12,11
2020-03-07,60090001,3,3
2020-03-08,60090001,5,5
2020-03-09,60090001,7,6
2020-03-10,60090001,11,10
2020-03-11,60090001,6,6
2020-03-12,60090001,12,11
2020-03-13,60090001,16,15
2020-03-14,60090001,6,6
2020-03-15,60090001,2,2
2020-03-16,60090001,1,1
2020-03-17,60090001,1,1
2020-03-18,60090001,5,5
2020-03-19,60090001,4,4
2020-03-20,60090001,3,3
2020-03-21,60090001,5,5
2020-03-22,60090001,7,6
2020-03-23,60090001,6,6
2020-03-24,60090001,4,4
2020-03-25,60090001,2,2
2020-03-26,60090001,4,4
2020-03-27,60090001,9,8
2020-03-28,60090001,9,8
2020-03-29,60090001,5,5
2020-03-30,60090001,6,6
2020-03-31,60090001,5,5
2020-04-01,60090001,5,5
2020-04-02,60090001,6,6
2020-04-03,60090001,8,7
2020-04-04,60090001,6,6
2020-04-05,60090001,2,2
2020-04-06,60090001,3,3
2020-04-07,60090001,3,3
2020-04-08,60090001,5,5
2020-04-09,60090001,3,3
2020-04-10,60090001,5,5
2020-04-11,60090001,9,8
2020-04-12,60090001,10,9
2020-04-13,60090001,13,12
2020-04-14,60090001,10,9
2020-04-15,60090001,13,12
2020-04-16,60090001,16,15
2020-04-17,60090001,10,9
2020-04-18,60090001,14,13
2020-04-19,60090001,10,9
2020-04-24,60090001,14,13
2020-04-25,60090001,15,14
2020-04-26,60090001,11,10
2020-04-27,60090001,17,16
2020-04-28,60090001,13,12
2020-04-29,60090001,16,15
2020-04-30,60090001,17,16
2020-05-01,60090001,16,15
2020-05-02,60090001,10,9
2020-05-03,60090001,9,8
2020-05-04,60090001,13,12
2020-05-05,60090001,14,13
2020-05-06,60090001,17,16
2020-05-07,60090001,20,19
2020-05-08,60090001,19,18
2020-05-09,60090001,20,19
2020-05-10,60090001,19,18
2020-05-11,60090001,12,11
2020-05-12,60090001,7,6
2020-05-13,60090001,10,9
2020-05-14,60090001,8,7
2020-05-15,60090001,10,9
2020-05-16,60090001,11,10
2020-05-17,60090001,5,5
2020-05-18,60090001,5,5
2020-05-19,60090001,8,7
2020-05-20,60090001,8,7
2020-05-21,60090001,12,11
2020-05-22,60090001,10,9
2020-05-23,60090001,8,7
2020-05-24,60090001,9,8
2020-05-25,60090001,11,10
2020-05-26,60090001,21,19
2020-05-27,60090001,24,22
2020-05-28,60090001,16,15
2020-05-29,60090001,17,16
2020-05-30,60090001,13,12
2020-05-31,60090001,12,11
2020-06-01,60090001,11,10
2020-06-02,60090001,14,13
2020-06-03,60090001,13,12
2020-06-05,60090001,33,31
2020-06-06,60090001,20,19
2020-06-07,60090001,7,6
2020-06-08,60090001,9,8
2020-06-09,60090001,10,9
2020-06-10,60090001,12,11
2020-06-11,60090001,12,11
2020-06-12,60090001,11,10
2020-06-13,60090001,6,6
2020-06-14,60090001,5,5
2020-06-15,60090001,10,9
2020-06-16,60090001,10,9
2020-06-17,60090001,11,10
2020-06-18,60090001,12,11
2020-06-19,60090001,13,12
2020-06-20,60090001,12,11
2020-06-21,60090001,10,9
2020-06-22,60090001,13,12
2020-06-23,60090001,12,11
2020-06-24,60090001,15,14
2020-06-25,60090001,22,20
2020-06-26,60090001,23,21
2020-06-27,60090001,17,16
2020-06-28,60090001,23,21
2020-06-29,60090001,19,18
2020-06-30,60090001,10,9
2020-07-01,60090001,16,15
2020-07-02,60090001,21,19
2020-07-03,60090001,20,19
2020-07-04,60090001,28,26
2020-07-05,60090001,15,14
2020-07-06,60090001,29,27
2020-07-07,60090001,22,20
2020-07-08,60090001,19,18
2020-07-09,60090001,20,19
2020-07-10,60090001,18,17
2020-07-11,60090001,11,10
2020-07-12,60090001,13,12
2020-07-13,60090001,17,16
2020-07-14,60090001,26,24
2020-07-15,60090001,25,23
2020-07-16,60090001,18,17
2020-07-17,60090001,14,13
2020-07-18,60090001,16,15
2020-07-19,60090001,20,19
2020-07-20,60090001,19,18
2020-07-21,60090001,17,16
2020-07-22,60090001,17,16
2020-07-23,60090001,17,16
2020-07-24,60090001,17,16
2020-07-25,60090001,14,13
2020-07-26,60090001,15,14
2020-07-27,60090001,19,18
2020-07-28,60090001,20,19
2020-07-29,60090001,18,17
2020-07-30,60090001,18,17
2020-07-31,60090001,15,14
2020-01-01,60111002,30,28
2020-01-02,60111002,15,14
2020-01-03,60111002,24,22
2020-01-04,60111002,23,21
2020-01-05,60111002,9,8
2020-01-06,60111002,10,9
2020-01-07,60111002,17,16
2020-01-08,60111002,25,23
2020-01-09,60111002,10,9
2020-01-10,60111002,10,9
2020-01-11,60111002,13,12
2020-01-12,60111002,9,8
2020-01-13,60111002,8,7
2020-01-14,60111002,9,8
2020-01-15,60111002,15,14
2020-01-16,60111002,9,8
2020-01-17,60111002,10,9
2020-01-18,60111002,8,7
2020-01-19,60111002,15,14
2020-01-20,60111002,18,17
2020-01-21,60111002,19,18
2020-01-22,60111002,10,9
2020-01-23,60111002,11,10
2020-01-24,60111002,17,16
2020-01-25,60111002,21,19
2020-01-26,60111002,10,9
2020-01-31,60111002,20,19
2020-02-01,60111002,17,16
2020-02-02,60111002,9,8
2020-02-03,60111002,2,2
2020-02-04,60111002,4,4
2020-02-05,60111002,12,11
2020-02-06,60111002,28,26
2020-02-07,60111002,34,31
2020-02-08,60111002,16,15
2020-02-09,60111002,5,5
2020-02-10,60111002,4,4
2020-02-11,60111002,7,6
2020-02-12,60111002,26,24
2020-02-13,60111002,31,29
2020-02-14,60111002,20,19
2020-02-15,60111002,30,28
2020-02-16,60111002,20,19
2020-02-17,60111002,9,8
2020-02-18,60111002,18,17
2020-02-19,60111002,21,19
2020-02-20,60111002,29,27
2020-02-21,60111002,20,19
2020-02-22,60111002,17,16
2020-02-23,60111002,19,18
2020-02-24,60111002,13,12
2020-02-25,60111002,11,10
2020-02-26,60111002,39,36
2020-02-27,60111002,23,21
2020-02-28,60111002,29,27
2020-02-29,60111002,15,14
2020-03-01,60111002,16,15
2020-03-02,60111002,16,15
2020-03-03,60111002,17,16
2020-03-04,60111002,32,30
2020-03-05,60111002,30,28
2020-03-06,60111002,13,12
2020-03-07,60111002,4,4
2020-03-08,60111002,4,4
2020-03-09,60111002,11,10
2020-03-10,60111002,11,10
2020-03-11,60111002,16,15
2020-03-12,60111002,23,21
2020-03-13,60111002,42,39
2020-03-14,60111002,5,5
2020-03-15,60111002,2,2
2020-03-16,60111002,3,3
2020-03-17,60111002,4,4
2020-03-18,60111002,4,4
2020-03-19,60111002,5,5
2020-03-20,60111002,10,9
2020-03-21,60111002,10,9
2020-03-22,60111002,7,6
2020-03-23,60111002,13,12
2020-03-24,60111002,4,4
2020-03-25,60111002,4,4
2020-03-26,60111002,6,6
2020-03-27,60111002,12,11
2020-03-28,60111002,16,15
2020-03-29,60111002,6,6
2020-03-30,60111002,8,7
2020-03-31,60111002,5,5
2020-04-01,60111002,12,11
2020-04-02,60111002,12,11
2020-04-03,60111002,15,14
2020-04-04,60111002,5,5
2020-04-05,60111002,3,3
2020-04-06,60111002,5,5
2020-04-07,60111002,3,3
2020-04-08,60111002,9,8
2020-04-09,60111002,8,7
2020-04-10,60111002,10,9
2020-04-11,60111002,10,9
2020-04-12,60111002,9,8
2020-04-13,60111002,26,24
2020-04-14,60111002,37,34
2020-04-15,60111002,27,25
2020-04-16,60111002,33,31
2020-04-17,60111002,26,24
2020-04-18,60111002,20,19
2020-04-19,60111002,18,17
2020-04-20,60111002,25,23
2020-04-21,60111002,38,35
2020-04-22,60111002,34,31
2020-04-23,60111002,34,31
2020-04-24,60111002,37,34
2020-04-25,60111002,36,33
2020-04-26,60111002,23,21
2020-04-27,60111002,41,38
2020-04-28,60111002,30,28
2020-04-29,60111002,37,34
2020-04-30,60111002,32,30
2020-05-01,60111002,38,35
2020-05-02,60111002,31,29
2020-05-03,60111002,12,11
2020-05-04,60111002,31,29
2020-05-05,60111002,39,36
2020-05-06,60111002,26,24
2020-05-07,60111002,33,31
2020-05-08,60111002,40,37
2020-05-09,60111002,41,38
2020-05-10,60111002,32,30
2020-05-11,60111002,22,20
2020-05-12,60111002,15,14
2020-05-13,60111002,16,15
2020-05-14,60111002,11,10
2020-05-15,60111002,13,12
2020-05-16,60111002,28,26
2020-05-17,60111002,11,10
2020-05-18,60111002,5,5
2020-05-19,60111002,5,5
2020-05-20,60111002,14,13
2020-05-21,60111002,16,15
2020-05-22,60111002,13,12
2020-05-23,60111002,9,8
2020-05-24,60111002,12,11
2020-05-25,60111002,13,12
2020-05-26,60111002,21,19
2020-05-27,60111002,24,22
2020-05-28,60111002,25,23
2020-05-29,60111002,30,28
2020-05-30,60111002,13,12
2020-05-31,60111002,9,8
2020-06-01,60111002,21,19
2020-06-02,60111002,19,18
2020-06-03,60111002,29,27
2020-06-04,60111002,25,23
2020-06-05,60111002,96,71
2020-06-06,60111002,47,44
2020-06-07,60111002,6,6
2020-06-08,60111002,14,13
2020-06-09,60111002,17,16
2020-06-10,60111002,22,20
2020-06-11,60111002,22,20
2020-06-12,60111002,31,29
2020-06-13,60111002,8,7
2020-06-14,60111002,9,8
2020-06-15,60111002,15,14
2020-06-16,60111002,10,9
2020-06-17,60111002,21,19
2020-06-18,60111002,15,14
2020-06-19,60111002,29,27
2020-06-20,60111002,23,21
2020-06-21,60111002,14,13
2020-06-22,60111002,28,26
2020-06-23,60111002,32,30
2020-06-24,60111002,31,29
2020-06-25,60111002,37,34
2020-06-26,60111002,45,42
2020-06-27,60111002,31,29
2020-06-28,60111002,24,22
2020-06-29,60111002,31,29
2020-06-30,60111002,23,21
2020-07-01,60111002,43,40
2020-07-02,60111002,41,38
2020-07-03,60111002,29,27
2020-07-04,60111002,23,21
2020-07-05,60111002,22,20
2020-07-06,60111002,39,36
2020-07-07,60111002,28,26
2020-07-08,60111002,29,27
2020-07-09,60111002,30,28
2020-07-10,60111002,28,26
2020-07-11,60111002,23,21
2020-07-12,60111002,18,17
2020-07-13,60111002,36,33
2020-07-14,60111002,36,33
2020-07-15,60111002,35,32
2020-07-16,60111002,32,30
2020-07-17,60111002,23,21
2020-07-18,60111002,22,20
2020-07-19,60111002,22,20
2020-07-20,60111002,23,21
2020-07-21,60111002,26,24
2020-07-22,60111002,20,19
2020-07-23,60111002,24,22
2020-07-24,60111002,28,26
2020-07-25,60111002,25,23
2020-07-26,60111002,26,24
2020-07-27,60111002,34,31
2020-07-28,60111002,29,27
2020-07-29,60111002,35,32
2020-07-30,60111002,30,28
2020-07-31,60111002,25,23
2020-01-01,60170011,12,11
2020-01-02,60170011,20,19
2020-01-03,60170011,18,17
2020-01-04,60170011,13,12
2020-01-05,60170011,15,14
2020-01-06,60170011,25,23
2020-01-07,60170011,14,13
2020-01-08,60170011,10,9
2020-01-09,60170011,10,9
2020-01-10,60170011,28,26
2020-01-11,60170011,8,7
2020-01-12,60170011,6,6
2020-01-13,60170011,8,7
2020-01-14,60170011,6,6
2020-01-15,60170011,13,12
2020-01-16,60170011,11,10
2020-01-17,60170011,9,8
2020-01-18,60170011,16,15
2020-01-19,60170011,17,16
2020-01-20,60170011,9,8
2020-01-21,60170011,4,4
2020-01-22,60170011,14,13
2020-01-23,60170011,13,12
2020-01-24,60170011,15,14
2020-01-25,60170011,26,24
2020-01-26,60170011,6,6
2020-01-31,60170011,12,11
2020-02-01,60170011,12,11
2020-02-02,60170011,11,10
2020-02-03,60170011,10,9
2020-02-04,60170011,20,19
2020-02-05,60170011,19,18
2020-02-06,60170011,17,16
2020-02-07,60170011,29,27
2020-02-08,60170011,21,19
2020-02-09,60170011,33,31
2020-02-10,60170011,18,17
2020-02-11,60170011,19,18
2020-02-12,60170011,22,20
2020-02-13,60170011,17,16
2020-02-14,60170011,24,22
2020-02-15,60170011,14,13
2020-02-16,60170011,12,11
2020-02-17,60170011,21,19
2020-02-18,60170011,26,24
2020-02-19,60170011,25,23
2020-02-20,60170011,24,22
2020-02-21,60170011,25,23
2020-02-22,60170011,18,17
2020-02-23,60170011,17,16
2020-02-24,60170011,18,17
2020-02-25,60170011,18,17
2020-02-26,60170011,22,20
2020-02-27,60170011,25,23
2020-02-28,60170011,20,19
2020-02-29,60170011,16,15
2020-03-01,60170011,9,8
2020-03-02,60170011,20,19
2020-03-03,60170011,20,19
2020-03-04,60170011,22,20
2020-03-05,60170011,17,16
2020-03-06,60170011,20,19
2020-03-07,60170011,8,7
2020-03-08,60170011,10,9
2020-03-09,60170011,14,13
2020-03-10,60170011,14,13
2020-03-11,60170011,14,13
2020-03-12,60170011,14,13
2020-03-13,60170011,18,17
2020-03-14,60170011,2,2
2020-03-15,60170011,1,1
2020-03-16,60170011,1,1
2020-03-17,60170011,2,2
2020-03-18,60170011,4,4
2020-03-19,60170011,5,5
2020-03-20,60170011,17,16
2020-03-21,60170011,14,13
2020-03-22,60170011,16,15
2020-03-23,60170011,5,5
2020-03-24,60170011,4,4
2020-03-25,60170011,3,3
2020-03-26,60170011,5,5
2020-03-27,60170011,10,9
2020-03-28,60170011,9,8
2020-03-29,60170011,4,4
2020-03-30,60170011,3,3
2020-03-31,60170011,4,4
2020-04-01,60170011,6,6
2020-04-02,60170011,8,7
2020-04-03,60170011,6,6
2020-04-04,60170011,5,5
2020-04-05,60170011,1,1
2020-04-06,60170011,4,4
2020-04-07,60170011,4,4
2020-04-08,60170011,14,13
2020-04-09,60170011,5,5
2020-04-10,60170011,7,6
2020-04-11,60170011,13,12
2020-04-12,60170011,7,6
2020-04-13,60170011,14,13
2020-04-14,60170011,13,12
2020-04-15,60170011,10,9
2020-04-16,60170011,15,14
2020-04-17,60170011,7,6
2020-04-18,60170011,8,7
2020-04-19,60170011,7,6
2020-04-20,60170011,7,6
2020-04-21,60170011,12,11
2020-04-22,60170011,9,8
2020-04-23,60170011,30,28
2020-04-24,60170011,9,8
2020-04-25,60170011,7,6
2020-04-26,60170011,8,7
2020-04-27,60170011,9,8
2020-04-28,60170011,7,6
2020-04-29,60170011,9,8
2020-04-30,60170011,8,7
2020-05-01,60170011,9,8
2020-05-02,60170011,7,6
2020-05-03,60170011,4,4
2020-05-04,60170011,5,5
2020-05-05,60170011,9,8
2020-05-06,60170011,13,12
2020-05-07,60170011,11,10
2020-05-08,60170011,13,12
2020-05-09,60170011,14,13
2020-05-10,60170011,17,16
2020-05-11,60170011,17,16
2020-05-12,60170011,6,6
2020-05-13,60170011,5,5
2020-05-14,60170011,4,4
2020-05-15,60170011,6,6
2020-05-16,60170011,7,6
2020-05-17,60170011,6,6
2020-05-18,60170011,1,1
2020-05-19,60170011,2,2
2020-05-20,60170011,5,5
2020-05-21,60170011,15,14
2020-05-22,60170011,7,6
2020-05-23,60170011,4,4
2020-05-24,60170011,6,6
2020-05-25,60170011,7,6
2020-05-28,60170011,5,5
2020-05-29,60170011,7,6
2020-05-30,60170011,11,10
2020-05-31,60170011,9,8
2020-06-01,60170011,8,7
2020-06-02,60170011,9,8
2020-06-03,60170011,11,10
2020-06-04,60170011,9,8
2020-06-05,60170011,11,10
2020-06-06,60170011,16,15
2020-06-07,60170011,7,6
2020-06-08,60170011,5,5
2020-06-09,60170011,5,5
2020-06-10,60170011,10,9
2020-06-11,60170011,14,13
2020-06-12,60170011,11,10
2020-06-13,60170011,3,3
2020-06-14,60170011,4,4
2020-06-15,60170011,4,4
2020-06-16,60170011,5,5
2020-06-17,60170011,9,8
2020-06-18,60170011,6,6
2020-06-19,60170011,18,17
2020-06-20,60170011,15,14
2020-06-21,60170011,12,11
2020-06-22,60170011,12,11
2020-06-23,60170011,20,19
2020-06-24,60170011,13,12
2020-06-25,60170011,19,18
2020-06-26,60170011,23,21
2020-06-27,60170011,25,23
2020-06-28,60170011,12,11
2020-06-29,60170011,22,20
2020-06-30,60170011,9,8
2020-07-01,60170011,13,12
2020-07-02,60170011,21,19
2020-07-03,60170011,14,13
2020-07-04,60170011,10,9
2020-07-05,60170011,8,7
2020-07-06,60170011,9,8
2020-07-07,60170011,12,11
2020-07-08,60170011,11,10
2020-07-09,60170011,15,14
2020-07-10,60170011,15,14
2020-07-11,60170011,11,10
2020-07-12,60170011,10,9
2020-07-13,60170011,12,11
2020-07-14,60170011,15,14
2020-07-15,60170011,22,20
2020-07-16,60170011,15,14
2020-07-17,60170011,10,9
2020-07-18,60170011,12,11
2020-07-19,60170011,10,9
2020-07-20,60170011,15,14
2020-07-21,60170011,16,15
2020-07-22,60170011,18,17
2020-07-23,60170011,14,13
2020-07-24,60170011,13,12
2020-07-25,60170011,15,14
2020-07-26,60170011,14,13
2020-07-27,60170011,15,14
2020-07-28,60170011,14,13
2020-07-29,60170011,15,14
2020-07-30,60170011,16,15
2020-07-31,60170011,12,11
2020-01-04,60190007,26,24
2020-01-10,60190007,20,19
2020-01-16,60190007,29,27
2020-01-23,60190007,23,21
2020-01-28,60190007,31,29
2020-01-01,60190011,46,43
2020-01-02,60190011,39,36
2020-01-03,60190011,39,36
2020-01-04,60190011,21,19
2020-01-05,60190011,13,12
2020-01-06,60190011,24,22
2020-01-07,60190011,22,20
2020-01-08,60190011,16,15
2020-01-09,60190011,12,11
2020-01-10,60190011,19,18
2020-01-11,60190011,20,19
2020-01-12,60190011,23,21
2020-01-13,60190011,28,26
2020-01-14,60190011,24,22
2020-01-15,60190011,27,25
2020-01-16,60190011,18,17
2020-01-17,60190011,12,11
2020-01-18,60190011,16,15
2020-01-19,60190011,24,22
2020-01-20,60190011,26,24
2020-01-21,60190011,34,31
2020-01-22,60190011,26,24
2020-01-23,60190011,19,18
2020-01-24,60190011,32,30
2020-01-25,60190011,38,35
2020-01-26,60190011,20,19
2020-01-27,60190011,17,16
2020-01-28,60190011,22,20
2020-01-29,60190011,17,16
2020-01-30,60190011,29,27
2020-02-01,60190011,41,38
2020-02-02,60190011,23,21
2020-02-03,60190011,16,15
2020-02-04,60190011,35,32
2020-02-05,60190011,44,41
2020-02-06,60190011,43,40
2020-02-07,60190011,47,44
2020-02-08,60190011,39,36
2020-02-09,60190011,26,24
2020-02-10,60190011,44,41
2020-02-11,60190011,42,39
2020-02-12,60190011,39,36
2020-02-13,60190011,35,32
2020-02-14,60190011,37,34
2020-02-15,60190011,37,34
2020-02-16,60190011,23,21
2020-02-17,60190011,24,22
2020-02-18,60190011,41,38
2020-02-19,60190011,44,41
2020-02-20,60190011,35,32
2020-02-21,60190011,43,40
2020-02-22,60190011,20,19
2020-02-23,60190011,20,19
2020-02-24,60190011,29,27
2020-02-25,60190011,37,34
2020-02-26,60190011,28,26
2020-02-27,60190011,36,33
2020-02-28,60190011,39,36
2020-02-29,60190011,34,31
2020-03-01,60190011,18,17
2020-03-02,60190011,30,28
2020-03-03,60190011,37,34
2020-03-04,60190011,42,39
2020-03-05,60190011,40,37
2020-03-06,60190011,35,32
2020-03-07,60190011,11,10
2020-03-08,60190011,12,11
2020-03-09,60190011,20,19
2020-03-10,60190011,19,18
2020-03-11,60190011,11,10
2020-03-12,60190011,19,18
2020-03-13,60190011,20,19
2020-03-14,60190011,11,10
2020-03-15,60190011,9,8
2020-03-16,60190011,2,2
2020-03-17,60190011,4,4
2020-03-18,60190011,6,6
2020-03-19,60190011,6,6
2020-03-20,60190011,8,7
2020-03-21,60190011,7,6
2020-03-22,60190011,9,8
2020-03-23,60190011,3,3
2020-03-24,60190011,7,6
2020-03-25,60190011,3,3
2020-03-26,60190011,4,4
2020-03-27,60190011,10,9
2020-03-28,60190011,15,14
2020-03-29,60190011,7,6
2020-03-30,60190011,11,10
2020-03-31,60190011,10,9
2020-04-01,60190011,9,8
2020-04-02,60190011,12,11
2020-04-03,60190011,13,12
2020-04-04,60190011,11,10
2020-04-05,60190011,6,6
2020-04-06,60190011,2,2
2020-04-07,60190011,4,4
2020-04-08,60190011,7,6
2020-04-09,60190011,3,3
2020-04-10,60190011,8,7
2020-04-11,60190011,16,15
2020-04-12,60190011,17,16
2020-04-13,60190011,16,15
2020-04-14,60190011,24,22
2020-04-15,60190011,21,19
2020-04-16,60190011,25,23
2020-04-17,60190011,15,14
2020-04-18,60190011,14,13
2020-04-19,60190011,14,13
2020-04-20,60190011,12,11
2020-04-21,60190011,14,13
2020-04-22,60190011,23,21
2020-04-23,60190011,22,20
2020-04-24,60190011,27,25
2020-04-25,60190011,35,32
2020-04-26,60190011,15,14
2020-04-27,60190011,22,20
2020-04-28,60190011,29,27
2020-04-29,60190011,33,31
2020-04-30,60190011,28,26
2020-05-01,60190011,25,23
2020-05-02,60190011,16,15
2020-05-03,60190011,11,10
2020-05-04,60190011,20,19
2020-05-05,60190011,28,26
2020-05-06,60190011,34,31
2020-05-07,60190011,42,39
2020-05-08,60190011,49,45
2020-05-09,60190011,46,43
2020-05-10,60190011,30,28
